property_id,suburb,address,property_type,bedrooms,bathrooms,parking,land_size_sqm,building_size_sqm,sold_price,sold_date,sale_method,agency,distance_to_station_km,description,source_site,listing_url,date_collected,notes
C002,Chatswood,24/35-43 Orchard Road,Apartment,1,1,1,,,858400,26/08/2026,,Belle Property North Shore,,Enjoying a quiet and elevated position within the highly sought-after Parkview Towers complex…,domain.com.au,https://www.domain.com.au/24-35-43-orchard-road-chatswood-nsw-2067-2021082799,25/09/2026,
C003,Chatswood,1/9-13 Church Street,Apartment,2,1,1,,,1016500,14/08/2026,,Raine & Horne Lower North Shore,,Stylish ground-floor apartment offering both space and the perfect location…,domain.com.au,https://www.domain.com.au/1-9-13-church-street-chatswood-nsw-2067-2021032297,25/09/2026,
C004,Chatswood,619/2a Help Street,Apartment,2,2,1,,117,1060000,07/08/2026,Private treaty,Century 21 Seiwa,,Secure a superbly positioned apartment offering exceptional value and lifestyle convenience…,domain.com.au,https://www.domain.com.au/619-2a-help-street-chatswood-nsw-2067-2020921653,25/09/2026,
C005,Chatswood,1/4 Sutherland Road,Townhouse,3,2,1,,,1460000,16/07/2026,Private treaty,Raine & Horne Carlingford / Epping,,"Positioned within an exclusive boutique complex of just four, this solid double brick townhouse…",domain.com.au,https://www.domain.com.au/1-4-sutherland-road-chatswood-nsw-2067-2020877709,25/09/2026,
C006,Chatswood,3/4 Sutherland Road,Townhouse,3,2,1,,,1520000,09/02/2026,Private treaty,Ray White AY Realty Chatswood,,"Freshly renovated to inspire a life of carefree excellence, this spacious dual level townhouse…",domain.com.au,https://www.domain.com.au/3-4-sutherland-road-chatswood-nsw-2067-2020509470,25/09/2026,
C007,Chatswood,16 Fontaine Street,House,4,2,3,576,,3300000,15/07/2026,Auction,Shead Property,,Classic character and exciting future potential come together in this double-brick home…,domain.com.au,https://www.domain.com.au/16-fontaine-street-chatswood-nsw-2067-2020926216,25/09/2026,
C008,Chatswood,5 Johnson Street,House,2,1,3,493,,2290000,02/07/2026,Private treaty,Ray White AY Realty Chatswood,,Take your place in one of Chatswood's most desired pockets…,domain.com.au,https://www.domain.com.au/5-johnson-street-chatswood-nsw-2067-2020902633,25/09/2026,
C009,Chatswood,5 Hopetoun Avenue,House,2,1,1,329,,2350000,01/07/2026,Auction,Belle Property North Shore,,Occupying approx. 329sqm on a cul-de-sac street in a sought-after eastern pocket…,domain.com.au,https://www.domain.com.au/5-hopetoun-avenue-chatswood-nsw-2067-2020877299,25/09/2026,Land 329 m2 taken from listing description.
C010,Chatswood,274 High Street,House,5,3,4,518,,3510000,30/06/2026,Private treaty,DiJones - Willoughby,,Perfectly positioned in one of Chatswood's most desirable and convenient locations…,domain.com.au,https://www.domain.com.au/274-high-street-chatswood-nsw-2067-2020911444,25/09/2026,
C011,Chatswood,8 Karana Place,House,4,2,2,,,2320000,23/06/2026,Private treaty,DiJones - Chatswood,,Nestled peacefully amid lush gardens with a stunning bushland reserve…,domain.com.au,https://www.domain.com.au/8-karana-place-chatswood-nsw-2067-2020823567,25/09/2026,House - land size not recorded on listing.
C012,Chatswood,31 Royal Street,House,5,3,1,,,4180000,05/05/2026,Private treaty,DiJones - Chatswood,,"An expression in refined luxury, this brand new freestanding home embodies sophistication…",domain.com.au,https://www.domain.com.au/31-royal-street-chatswood-nsw-2067-2020580692,25/09/2026,House - land size not recorded on listing.
